Название;;;;Количество;Цена;;;;
Б_MINIMI BO222 Slip Nero 58/5XL, ;;;;1,000;187,20;;;;
Б_MINIMI BO222 Slip Nudo 50/XL, ;;;;1,000;171,76;;;;
Б_MINIMI BO222 Slip Nudo 52/XXL, ;;;;1,000;171,76;;;;
Б_MINIMI BO222 Slip Nudo 56/4XL, ;;;;1,000;171,76;;;;
Б_MINIMI BO222 Slip Nudo 58/5XL, ;;;;1,000;180,00;;;;
Б_MINIMI BO223 Slip Bianco 46/M, ;;;;1,000;136,00;;;;
Б_MINIMI BO223 Slip Bianco 48/L, ;;;;1,000;167,28;;;;
Б_MINIMI BO223 Slip Bianco 50/XL, ;;;;1,000;153,68;;;;
Б_MINIMI BO223 Slip Bianco 52/2XL, ;;;;1,000;132,00;;;;
Б_MINIMI BO223 Slip Nero 42/XS, ;;;;1,000;142,71;;;;
Б_MINIMI BO223 Slip Nero 44/S, ;;;;1,000;153,68;;;;
Б_MINIMI BO223 Slip Nudo 42/XS, ;;;;1,000;153,68;;;;
Б_MINIMI BO223 Slip Nudo 46/M, ;;;;1,000;136,00;;;;
Б_MINIMI BO223 Slip Nudo 48/L, ;;;;1,000;136,00;;;;
Б_MINIMI BO223 Slip Nudo 50/XL, ;;;;1,000;153,68;;;;
Б_MINIMI BO223 Slip Perla 44/S, ;;;;1,000;142,71;;;;
Б_MINIMI BO223 Slip Perla 46/M, ;;;;1,000;153,68;;;;
Б_MINIMI BO223 Slip Perla 48/L, ;;;;1,000;191,88;;;;
Б_MINIMI BO223 Slip Perla 50/XL, ;;;;1,000;191,88;;;;
Б_MINIMI BO223 Slip Perla 52/2XL, ;;;;1,000;132,00;;;;
Б_MINIMI BO224 Slip Bianco 50/XL, ;;;;1,000;249,91;;;;
Б_MINIMI BO224 Slip Bianco 52/2XL, ;;;;3,000;759,24;;;;
Б_MINIMI BO224 Slip Bianco 54/3XL, ;;;;1,000;253,08;;;;
Б_MINIMI BO224 Slip Bianco 56/4XL, ;;;;1,000;253,08;;;;
Б_MINIMI BO224 Slip Menta 52/2XL, ;;;;3,000;741,30;;;;
Б_MINIMI BO224 Slip Nero 44/S, ;;;;2,000;494,20;;;;
Б_MINIMI BO224 Slip Nero 46/M, ;;;;1,000;226,44;;;;
Б_MINIMI BO224 Slip Nero 54/3XL, ;;;;2,000;506,16;;;;
Б_MINIMI BO224 Slip Nero 56/4XL, ;;;;2,000;506,16;;;;
Б_MINIMI BO225 Slip Bianco 56/4XL, ;;;;1,000;228,00;;;;
Б_MINIMI BO225 Slip Nero 52/2XL, ;;;;1,000;228,00;;;;
Б_MINIMI BO225 Slip Nero 56/4XL, ;;;;1,000;228,00;;;;
Б_MINIMI BO225 Slip Nudo 50/XL, ;;;;1,000;228,00;;;;
Б_MINIMI BO225 Slip Nudo 56/4XL, ;;;;2,000;456,00;;;;
Б_MINIMI BO241 Slip (maxi) Avorio 54/XXXL, ;;;;1,000;202,16;;;;
Б_MINIMI BO241 Slip (maxi) Avorio 56/4XL, ;;;;1,000;210,00;;;;
Б_MINIMI BO241 Slip (maxi) Avorio 58/5XL, ;;;;1,000;180,88;;;;
Б_MINIMI BO241 Slip (maxi) Bianco 50/XL, ;;;;1,000;210,00;;;;
Б_MINIMI BO241 Slip (maxi) Bianco 52/XXL, ;;;;1,000;210,00;;;;
Б_MINIMI BO241 Slip (maxi) Bianco 54/XXXL, ;;;;2,000;420,00;;;;
Б_MINIMI BO241 Slip (maxi) Bianco 56/4XL, ;;;;1,000;187,20;;;;
Б_MINIMI BO241 Slip (maxi) Nero 56/4XL, ;;;;1,000;202,16;;;;
Б_MINIMI BO241 Slip (maxi) Nero 58/5XL, ;;;;1,000;202,16;;;;
Б_MINIMI BO241 Slip (maxi) Nudo 56/4XL, ;;;;1,000;202,16;;;;
Б_MINIMI BO241 Slip (maxi) Nudo 58/5XL, ;;;;1,000;210,00;;;;
Б_MINIMI BO242 Slip (maxi) Avorio 54/XXXL, ;;;;1,000;202,16;;;;
Б_MINIMI BO242 Slip (maxi) Bianco 50/XL, ;;;;1,000;202,16;;;;
Б_MINIMI BO242 Slip (maxi) Bianco 52/2XL, ;;;;1,000;207,48;;;;
Б_MINIMI BO242 Slip (maxi) Bianco 56/4XL, ;;;;1,000;207,48;;;;
Б_MINIMI BO242 Slip (maxi) Blu Notte 56/4XL, ;;;;1,000;202,16;;;;
Б_MINIMI BO242 Slip (maxi) Borgogna 56/4XL, ;;;;2,000;361,76;;;;
Б_MINIMI BO242 Slip (maxi) Celeste 54/3XL, ;;;;1,000;219,75;;;;
Б_MINIMI BO242 Slip (maxi) Celeste 56/4XL, ;;;;1,000;210,00;;;;
Б_MINIMI BO242 Slip (maxi) Lilla 56/4XL, ;;;;2,000;361,76;;;;
Б_MINIMI BO242 Slip (maxi) Menta 54/3XL, ;;;;1,000;202,16;;;;
Б_MINIMI BO242 Slip (maxi) Menta 56/4XL, ;;;;1,000;202,16;;;;
Б_MINIMI BO242 Slip (maxi) Nero 46/M, ;;;;1,000;219,75;;;;
Б_MINIMI BO242 Slip (maxi) Nero 56/4XL, ;;;;1,000;210,00;;;;
Б_MINIMI BO242 Slip (maxi) Nudo 52/2XL, ;;;;1,000;202,16;;;;
Б_MINIMI BO242 Slip (maxi) Nudo 54/3XL, ;;;;1,000;219,75;;;;
Б_MINIMI BO242 Slip (maxi) Nudo 56/4XL, ;;;;1,000;207,48;;;;
Б_MINIMI BO242 Slip (maxi) Perla 50/XL, ;;;;1,000;207,48;;;;
Б_MINIMI BO242 Slip (maxi) Perla 54/3XL, ;;;;1,000;207,48;;;;
Б_MINIMI BO242 Slip (maxi) Perla 56/4XL, ;;;;2,000;414,96;;;;
Б_MINIMI BO242 Slip (maxi) Rosa 54/3XL, ;;;;2,000;414,96;;;;
Б_MINIMI BO243 Slip (maxi) Bianco 44/S, ;;;;1,000;228,00;;;;
Б_MINIMI BO243 Slip (maxi) Bianco 46/M, ;;;;1,000;223,08;;;;
Б_MINIMI BO243 Slip (maxi) Bianco 48/L, ;;;;1,000;223,08;;;;
Б_MINIMI BO243 Slip (maxi) Bianco 52/2XL, ;;;;1,000;223,08;;;;
Б_MINIMI BO243 Slip (maxi) Nero 44/S, ;;;;1,000;223,08;;;;
Б_MINIMI BO243 Slip (maxi) Nudo 44/S, ;;;;1,000;223,08;;;;
Б_MINIMI BO243 Slip (maxi) Nudo 46/M, ;;;;1,000;228,00;;;;
Б_MINIMI BO243 Slip (maxi) Nudo 48/L, ;;;;1,000;223,08;;;;
Б_MINIMI BO243 Slip (maxi) Nudo 50/XL, ;;;;1,000;228,00;;;;
Б_MINIMI BO243 Slip (maxi) Nudo 52/2XL, ;;;;2,000;456,00;;;;
Б_MINIMI BO261 Brasilliana Bianco 42/XS, ;;;;1,000;202,16;;;;
Б_MINIMI BO261 Brasilliana Bianco 48/L, ;;;;1,000;202,16;;;;
Б_MINIMI BO261 Brasilliana Bianco 50/XL, ;;;;1,000;219,75;;;;
Б_MINIMI BO261 Brasilliana Bianco 52/2XL, ;;;;1,000;202,16;;;;
Б_MINIMI BO261 Brasilliana Lilla 42/XS, ;;;;1,000;197,34;;;;
Б_MINIMI BO261 Brasilliana Lilla 44/S, ;;;;1,000;202,16;;;;
Б_MINIMI BO261 Brasilliana Lilla 46/M, ;;;;1,000;219,75;;;;
Б_MINIMI BO261 Brasilliana Lilla 48/L, ;;;;1,000;219,75;;;;
Б_MINIMI BO261 Brasilliana Lilla 50/XL, ;;;;1,000;202,16;;;;
Б_MINIMI BO261 Brasilliana Lilla 52/2XL, ;;;;1,000;202,16;;;;
Б_MINIMI BO261 Brasilliana Nero 42/XS, ;;;;1,000;197,34;;;;
Б_MINIMI BO261 Brasilliana Nero 44/S, ;;;;1,000;210,00;;;;
Б_MINIMI BO261 Brasilliana Nero 46/M, ;;;;1,000;218,40;;;;
Б_MINIMI BO261 Brasilliana Nero 48/L, ;;;;1,000;219,75;;;;
Б_MINIMI BO261 Brasilliana Nero 52/2XL, ;;;;1,000;202,16;;;;
"Б_MINIMI M2S111 Майка ""Top"" женская Beige 46/M, ";;;;3,000;1 087,32;;;;
"Б_MINIMI M2S111 Майка ""Top"" женская Beige 48/L, ";;;;2,000;905,76;;;;
"Б_MINIMI M2S111 Майка ""Top"" женская Bianco 42/XS, ";;;;1,000;452,88;;;;
"Б_MINIMI M2S111 Майка ""Top"" женская Bianco 44/S, ";;;;2,000;724,88;;;;
"Б_MINIMI M2S111 Майка ""Top"" женская Bianco 46/M, ";;;;1,000;373,10;;;;
"Б_MINIMI M2S111 Майка ""Top"" женская Bianco 48/L, ";;;;1,000;452,88;;;;
"Б_MINIMI M2S111 Майка ""Top"" женская Grigio Chiaro Melange 42/XS, ";;;;1,000;452,88;;;;
"Б_MINIMI M2S111 Майка ""Top"" женская Grigio Chiaro Melange 44/S, ";;;;1,000;357,11;;;;
"Б_MINIMI M2S111 Майка ""Top"" женская Grigio Chiaro Melange 46/M, ";;;;1,000;357,11;;;;
"Б_MINIMI M2S111 Майка ""Top"" женская Nero 44/S, ";;;;1,000;357,11;;;;
"Б_MINIMI M2S111 Майка ""Top"" женская Nero 46/M, ";;;;1,000;452,88;;;;
"Б_MINIMI M2S142 Майка ""Top"" Grigio Chiaro Melange 42/XS, ";;;;1,000;272,00;;;;
"Б_MINIMI M2S142 Майка ""Top"" Grigio Chiaro Melange 44/S, ";;;;1,000;272,00;;;;
"Б_MINIMI M2S142 Майка ""Top"" Nero 48/L, ";;;;1,000;233,10;;;;
"Б_MINIMI M2S142 Майка ""Top"" женская Beige 42/XS, ";;;;1,000;272,00;;;;
"Б_MINIMI M2S142 Майка ""Top"" женская Beige 44/S, ";;;;1,000;272,00;;;;
"Б_MINIMI M2S142 Майка ""Top"" женская Beige 48/L, ";;;;1,000;272,00;;;;
"Б_MINIMI M2S142 Майка ""Top"" женская Bianco 42/XS, ";;;;1,000;272,00;;;;
"Б_MINIMI M2S142 Майка ""Top"" женская Bianco 44/S, ";;;;1,000;223,11;;;;
"Б_MINIMI M2S142 Майка ""Top"" женская Bianco 46/M, ";;;;3,000;699,30;;;;
"Б_MINIMI M2S142 Майка ""Top"" женская Bianco 48/L, ";;;;1,000;272,00;;;;
"Б_MINIMI M2S142 Майка ""Top"" женская Nero 42/XS, ";;;;1,000;272,00;;;;
"Б_MINIMI M2S142 Майка ""Top"" женская Nero 44/S, ";;;;1,000;272,00;;;;
Б_MINIMI M2S281 Tanga Beige 42/XS, ;;;;1,000;134,00;;;;
Б_MINIMI M2S281 Tanga Beige 44/S, ;;;;1,000;158,44;;;;
Б_MINIMI M2S281 Tanga Beige 46/M, ;;;;2,000;272,00;;;;
Б_MINIMI M2S281 Tanga Beige 48/L, ;;;;1,000;134,00;;;;
Б_MINIMI M2S281 Tanga Beige 50/XL, ;;;;1,000;134,00;;;;
Б_MINIMI M2S281 Tanga Bianco 42/XS, ;;;;1,000;180,88;;;;
Б_MINIMI M2S281 Tanga Bianco 44/S, ;;;;1,000;180,88;;;;
Б_MINIMI M2S281 Tanga Bianco 46/M, ;;;;2,000;268,00;;;;
Б_MINIMI M2S281 Tanga Grigio Chiaro Melange 42/XS, ;;;;1,000;134,00;;;;
Б_MINIMI M2S281 Tanga Grigio Chiaro Melange 44/S, ;;;;1,000;180,88;;;;
Б_MINIMI M2S281 Tanga Grigio Chiaro Melange 46/M, ;;;;1,000;140,00;;;;
Б_MINIMI M2S281 Tanga Grigio Chiaro Melange 50/XL, ;;;;1,000;158,44;;;;
Б_MINIMI M2S281 Tanga Nero 42/XS, ;;;;1,000;134,00;;;;
Б_MINIMI M2S281 Tanga Nero 44/S, ;;;;1,000;136,00;;;;
Б_MINIMI M2S281 Tanga Nero 46/M, ;;;;1,000;134,00;;;;
"Б_MINIMI MA121 Майка ""Топ"" Rubino 44/46 (S/M), ";;;;1,000;264,75;;;;
"Б_MINIMI MA121 Майка ""Топ"" Rubino 46/48 (M/L), ";;;;1,000;264,75;;;;
"Б_MINIMI MA121 Майка ""Топ"" Rubino 48/50 (L/XL), ";;;;1,000;253,08;;;;
"Б_MINIMI MA121 Майка ""Топ"" женская Beige 44/46 (S/M), ";;;;3,000;759,24;;;;
"Б_MINIMI MA121 Майка ""Топ"" женская Beige 46/48 (M/L), ";;;;2,000;529,50;;;;
"Б_MINIMI MA121 Майка ""Топ"" женская Beige 48/50 (L/XL), ";;;;1,000;253,08;;;;
"Б_MINIMI MA121 Майка ""Топ"" женская Bianco 44/46 (S/M), ";;;;1,000;264,75;;;;
"Б_MINIMI MA121 Майка ""Топ"" женская Bianco 48/50 (L/XL), ";;;;3,000;759,24;;;;
"Б_MINIMI MA121 Майка ""Топ"" женская Giallo 44/46 (S/M), ";;;;1,000;234,00;;;;
"Б_MINIMI MA121 Майка ""Топ"" женская Nero 44/46 (S/M), ";;;;1,000;264,75;;;;
"Б_MINIMI MA121 Майка ""Топ"" женская Nero 46/48 (M/L), ";;;;1,000;253,08;;;;
"Б_MINIMI MA121 Майка ""Топ"" женская Nero 48/50 (L/XL), ";;;;3,000;759,24;;;;
"Б_MINIMI MA131 Майка ""Топ"" женская Beige 44/46 (S/M), ";;;;1,000;248,88;;;;
"Б_MINIMI MA131 Майка ""Топ"" женская Beige 46/48 (M/L), ";;;;2,000;497,76;;;;
"Б_MINIMI MA131 Майка ""Топ"" женская Beige 48/50 (L/XL), ";;;;1,000;178,22;;;;
"Б_MINIMI MA131 Майка ""Топ"" женская Bianco 44/46 (S/M), ";;;;5,000;1 390,80;;;;
"Б_MINIMI MA131 Майка ""Топ"" женская Bianco 46/48 (M/L), ";;;;1,000;278,16;;;;
"Б_MINIMI MA131 Майка ""Топ"" женская Bianco 48/50 (L/XL), ";;;;2,000;497,76;;;;
"Б_MINIMI MA131 Майка ""Топ"" женская Blu Notte 46/48 (M/L), ";;;;1,000;248,88;;;;
"Б_MINIMI MA131 Майка ""Топ"" женская Indigo 44/46 (S/M), ";;;;1,000;248,88;;;;
"Б_MINIMI MA131 Майка ""Топ"" женская Indigo 46/48 (M/L), ";;;;1,000;248,88;;;;
"Б_MINIMI MA131 Майка ""Топ"" женская Militari 44/46 (S/M), ";;;;1,000;248,88;;;;
"Б_MINIMI MA131 Майка ""Топ"" женская Militari 46/48 (M/L), ";;;;1,000;248,88;;;;
"Б_MINIMI MA131 Майка ""Топ"" женская Militari 48/50 (L/XL), ";;;;1,000;248,88;;;;
"Б_MINIMI MA131 Майка ""Топ"" женская Nero 44/46 (S/M), ";;;;1,000;248,88;;;;
"Б_MINIMI MA131 Майка ""Топ"" женская Nero 46/48 (M/L), ";;;;1,000;278,16;;;;
"Б_MINIMI MA131 Майка ""Топ"" женская Nero 48/50 (L/XL), ";;;;1,000;278,16;;;;
"Б_MINIMI MA131 Майка ""Топ"" женская Rubino 44/46 (S/M), ";;;;2,000;497,76;;;;
"Б_MINIMI MA131 Майка ""Топ"" женская Rubino 46/48 (M/L), ";;;;3,000;746,64;;;;
"Б_MINIMI MA131 Майка ""Топ"" женская Rubino 48/50 (L/XL), ";;;;2,000;497,76;;;;
"Б_MINIMI MA132 Майка ""Топ"" женская Barbie 44/46 (S/M), ";;;;1,000;441,48;;;;
"Б_MINIMI MA132 Майка ""Топ"" женская Barbie 46/48 (M/L), ";;;;1,000;430,16;;;;
"Б_MINIMI MA132 Майка ""Топ"" женская Beige 44/46 (S/M), ";;;;3,000;1 350,00;;;;
"Б_MINIMI MA132 Майка ""Топ"" женская Beige 50/52 (XL/2XL), ";;;;1,000;450,00;;;;
"Б_MINIMI MA132 Майка ""Топ"" женская Bianco 48/50 (L/XL), ";;;;1,000;450,00;;;;
"Б_MINIMI MA132 Майка ""Топ"" женская Bianco 50/52 (XL/2XL), ";;;;1,000;450,00;;;;
"Б_MINIMI MA132 Майка ""Топ"" женская Celeste 44/46 (S/M), ";;;;1,000;430,16;;;;
"Б_MINIMI MA132 Майка ""Топ"" женская Celeste 50/52 (XL/2XL), ";;;;1,000;430,16;;;;
"Б_MINIMI MA132 Майка ""Топ"" женская Nero 44/46 (S/M), ";;;;2,000;804,00;;;;
"Б_MINIMI MA132 Майка ""Топ"" женская Nero 48/50 (L/XL), ";;;;1,000;450,00;;;;
"Б_MINIMI MA132 Майка ""Топ"" женская Rosa Antico 48/50 (L/XL), ";;;;1,000;450,00;;;;
"Б_MINIMI MA132 Майка ""Топ"" женская Rosa Antico 50/52 (XL/2XL), ";;;;2,000;860,32;;;;
"Б_MINIMI MA141 Майка ""Топ"" женская Beige 46/48 (M/L), ";;;;1,000;430,16;;;;
"Б_MINIMI MA141 Майка ""Топ"" женская Beige 48/50 (L/XL), ";;;;1,000;402,00;;;;
"Б_MINIMI MA141 Майка ""Топ"" женская Bianco 46/48 (M/L), ";;;;1,000;468,00;;;;
"Б_MINIMI MA141 Майка ""Топ"" женская Bianco 48/50 (L/XL), ";;;;2,000;804,00;;;;
"Б_MINIMI MA141 Майка ""Топ"" женская Blu Notte 46/48 (M/L), ";;;;1,000;450,00;;;;
"Б_MINIMI MA141 Майка ""Топ"" женская Blu Notte 48/50 (L/XL), ";;;;1,000;373,56;;;;
"Б_MINIMI MA141 Майка ""Топ"" женская Militari 44/46 (S/M), ";;;;1,000;373,56;;;;
"Б_MINIMI MA141 Майка ""Топ"" женская Militari 46/48 (M/L), ";;;;1,000;450,00;;;;
"Б_MINIMI MA141 Майка ""Топ"" женская Militari 48/50 (L/XL), ";;;;3,000;1 290,48;;;;
"Б_MINIMI MA141 Майка ""Топ"" женская Nero 44/46 (S/M), ";;;;1,000;402,00;;;;
"Б_MINIMI MA141 Майка ""Топ"" женская Nero 48/50 (L/XL), ";;;;2,000;804,00;;;;
"Б_MINIMI MA141 Майка ""Топ"" женская Rubino 44/46 (S/M), ";;;;1,000;430,16;;;;
"Б_MINIMI MA141 Майка ""Топ"" женская Rubino 46/48 (M/L), ";;;;1,000;430,16;;;;
"Б_MINIMI MA141 Майка ""Топ"" женская Rubino 48/50 (L/XL), ";;;;1,000;430,16;;;;
Б_MINIMI MA211 String Bianco 44/46 (S/M), ;;;;1,000;204,00;;;;
Б_MINIMI MA211 String Bianco 48/50 (L/XL), ;;;;1,000;240,00;;;;
Б_MINIMI MA211 String Nero 44/46 (S/M), ;;;;1,000;240,00;;;;
Б_MINIMI MA211 String Nero 46/48 (M/L), ;;;;2,000;408,00;;;;
Б_MINIMI MA221 Slip Bianco 46/48 (M/L), ;;;;2,000;456,00;;;;
Б_MINIMI MA221 Slip Bianco 50/52 (XL/2XL), ;;;;1,000;214,40;;;;
Б_MINIMI MA221 Slip Nero 44/46 (S/M), ;;;;1,000;240,00;;;;
Б_MINIMI MA221 Slip Nero 46/48 (M/L), ;;;;1,000;240,00;;;;
Б_MINIMI MA221 Slip Nero 48/50 (L/XL), ;;;;1,000;240,00;;;;
Б_MINIMI MA222 Slip Alte Beige 44/46 (S/M), ;;;;1,000;228,00;;;;
Б_MINIMI MA222 Slip Alte Beige 46/48 (M/L), ;;;;1,000;240,00;;;;
Б_MINIMI MA222 Slip Alte Bianco 44/46 (S/M), ;;;;1,000;228,00;;;;
Б_MINIMI MA222 Slip Alte Bianco 46/48 (M/L), ;;;;2,000;456,00;;;;
Б_MINIMI MA222 Slip Alte Bianco 48/50 (L/XL), ;;;;1,000;240,00;;;;
Б_MINIMI MA222 Slip Alte Blu Notte 44/46 (S/M), ;;;;1,000;204,00;;;;
Б_MINIMI MA222 Slip Alte Celeste 44/46 (S/M), ;;;;1,000;204,00;;;;
Б_MINIMI MA222 Slip Alte Celeste 46/48 (M/L), ;;;;2,000;480,00;;;;
Б_MINIMI MA222 Slip Alte Celeste 48/50 (L/XL), ;;;;1,000;228,00;;;;
Б_MINIMI MA222 Slip Alte Celeste 50/52 (XL/2XL), ;;;;1,000;214,40;;;;
Б_MINIMI MA222 Slip Alte Militari 44/46 (S/M), ;;;;1,000;214,40;;;;
Б_MINIMI MA222 Slip Alte Militari 46/48 (M/L), ;;;;2,000;480,00;;;;
Б_MINIMI MA222 Slip Alte Militari 48/50 (L/XL), ;;;;1,000;240,00;;;;
Б_MINIMI MA222 Slip Alte Nero 46/48 (M/L), ;;;;2,000;480,00;;;;
Б_MINIMI MA222 Slip Alte Nero 48/50 (L/XL), ;;;;1,000;240,00;;;;
Б_MINIMI MA222 Slip Alte Rosa Antico 44/46 (S/M), ;;;;1,000;228,00;;;;
Б_MINIMI MA222 Slip Alte Rosa Antico 46/48 (M/L), ;;;;1,000;228,00;;;;
Б_MINIMI MA222 Slip Alte Rubino 46/48 (M/L), ;;;;1,000;214,40;;;;
Б_MINIMI MA222 Slip Alte Rubino 48/50 (L/XL), ;;;;1,000;234,00;;;;
Б_MINIMI MA231 Panty Beige 44/46 (S/M), ;;;;2,000;268,00;;;;
Б_MINIMI MA231 Panty Beige 46/48 (M/L), ;;;;2,000;456,00;;;;
Б_MINIMI MA231 Panty Bianco 44/46 (S/M), ;;;;2,000;456,00;;;;
Б_MINIMI MA231 Panty Bianco 46/48 (M/L), ;;;;1,000;228,00;;;;
Б_MINIMI MA231 Panty Bianco 48/50 (L/XL), ;;;;1,000;134,00;;;;
Б_MINIMI MA231 Panty Blu Notte 44/46 (S/M), ;;;;1,000;134,00;;;;
Б_MINIMI MA231 Panty Blu Notte 46/48 (M/L), ;;;;2,000;268,00;;;;
Б_MINIMI MA231 Panty Celeste 44/46 (S/M), ;;;;1,000;134,00;;;;
Б_MINIMI MA231 Panty Rubino 44/46 (S/M), ;;;;2,000;408,00;;;;
Б_MINIMI MA231 Panty Rubino 46/48 (M/L), ;;;;1,000;134,00;;;;
Б_MINIMI MA270 Shorts Beige 48/50 (L/XL), ;;;;1,000;278,16;;;;
Б_MINIMI MA270 Shorts Bianco 48/50 (L/XL), ;;;;1,000;278,16;;;;
Б_MINIMI MA270 Shorts Blu Notte 44/46 (S/M), ;;;;1,000;289,50;;;;
Б_MINIMI MA270 Shorts Blu Notte 48/50 (L/XL), ;;;;1,000;289,50;;;;
Б_MINIMI MA270 Shorts Militari 48/50 (L/XL), ;;;;1,000;278,16;;;;
Б_MINIMI MF261 Brasiliana Acqua 42 (XS), ;;;;1,000;99,75;;;;
Б_MINIMI MF261 Brasiliana Acqua 44 (S), ;;;;1,000;99,75;;;;
Б_MINIMI MF261 Brasiliana Acqua 46 (M), ;;;;1,000;103,74;;;;
Б_MINIMI MF261 Brasiliana Acqua 48 (L), ;;;;1,000;99,75;;;;
Б_MINIMI MF261 Brasiliana Erba 42 (XS), ;;;;1,000;134,94;;;;
Б_MINIMI MF261 Brasiliana Erba 44 (S), ;;;;1,000;103,74;;;;
Б_MINIMI MF261 Brasiliana Erba 46 (M), ;;;;1,000;103,74;;;;
Б_MINIMI MF261 Brasiliana Erba 48 (L), ;;;;1,000;131,48;;;;
Б_MINIMI MS121 Top Blu Notte 42 (XS), ;;;;1,000;303,28;;;;
Б_MINIMI MS121 Top Celeste 42 (XS), ;;;;1,000;347,88;;;;
Б_MINIMI MS121 Top Celeste 48 (L), ;;;;1,000;347,88;;;;
Б_MINIMI MS122 Top Lilla 42 (XS), ;;;;1,000;226,44;;;;
Б_MINIMI MS122 Top Lilla 46 (M), ;;;;1,000;327,60;;;;
Б_MINIMI MS122 Top Lilla 48 (L), ;;;;1,000;327,60;;;;
Б_MINIMI MS122 Top Menta 42 (XS), ;;;;1,000;327,60;;;;
Б_MINIMI MS122 Top Menta 46 (M), ;;;;1,000;327,60;;;;
Б_MINIMI MS122 Top Menta 48 (L), ;;;;1,000;327,60;;;;
Б_MINIMI MS122 Top Nero 42 (XS), ;;;;1,000;226,44;;;;
Б_MINIMI MS122 Top Nero 46 (M), ;;;;1,000;327,60;;;;
Б_MINIMI MS221 Slip Celeste 42/XS, ;;;;1,000;158,44;;;;
Б_MINIMI MS221 Slip Celeste 44/S, ;;;;1,000;202,16;;;;
Б_MINIMI MS221 Slip Celeste 46/M, ;;;;2,000;232,40;;;;
Б_MINIMI MS221 Slip Celeste 50/XL, ;;;;1,000;111,22;;;;
Б_MINIMI MS221 Slip Giallo 44/S, ;;;;1,000;116,20;;;;
Б_MINIMI MS221 Slip Giallo 48/L, ;;;;1,000;111,22;;;;
Б_MINIMI MS221 Slip Giallo 50/XL, ;;;;1,000;111,22;;;;
Б_MINIMI MS221 Slip Lilla 42/XS, ;;;;1,000;111,22;;;;
Б_MINIMI MS221 Slip Lilla 44/S, ;;;;2,000;222,44;;;;
Б_MINIMI MS221 Slip Lilla 46/M, ;;;;1,000;111,22;;;;
Б_MINIMI MS221 Slip Lilla 48/L, ;;;;1,000;111,22;;;;
Б_MINIMI MS221 Slip Lilla 50/XL, ;;;;1,000;116,20;;;;
Б_MINIMI MS221 Slip Menta 42/XS, ;;;;1,000;116,20;;;;
Б_MINIMI MS221 Slip Menta 44/S, ;;;;1,000;116,20;;;;
Б_MINIMI MS221 Slip Menta 46/M, ;;;;1,000;116,20;;;;
Б_MINIMI MS221 Slip Menta 48/L, ;;;;1,000;111,22;;;;
Б_MINIMI MS221 Slip Menta 50/XL, ;;;;1,000;202,16;;;;
Б_MINIMI MS221 Slip Nero 42/XS, ;;;;1,000;116,20;;;;
Б_MINIMI MS261 Brasiliana Giallo 42/XS, ;;;;1,000;116,20;;;;
Б_MINIMI MS261 Brasiliana Giallo 46/M, ;;;;1,000;116,20;;;;
Б_MINIMI MS261 Brasiliana Giallo 48/L, ;;;;1,000;116,20;;;;
Б_MINIMI MS261 Brasiliana Giallo 50/XL, ;;;;1,000;111,22;;;;
Б_MINIMI MT_Pois_211 String Celeste 46 (M), ;;;;1,000;116,20;;;;
Б_MINIMI MT_Pois_211 String Celeste 48 (L), ;;;;1,000;116,20;;;;
Б_MINIMI MT_Pois_211 String Cipria 42 (XS), ;;;;1,000;111,22;;;;
Б_MINIMI MT_Pois_211 String Cipria 44 (S), ;;;;1,000;116,20;;;;
Б_MINIMI MT_Pois_211 String Cipria 46 (M), ;;;;1,000;116,20;;;;
Б_MINIMI MT_Pois_211 String Cipria 48 (L), ;;;;1,000;111,22;;;;
Б_MINIMI MT_Pois_211 String Cipria 50 (XL), ;;;;1,000;116,20;;;;
Б_MINIMI MT_Pois_211 String Jeans 46 (M), ;;;;2,000;232,40;;;;
Б_MINIMI MT_Pois_211 String Jeans 48 (L), ;;;;1,000;116,20;;;;
Б_MINIMI MT_Pois_211 String Lilla 42 (XS), ;;;;1,000;111,22;;;;
Б_MINIMI MT_Pois_211 String Lilla 46 (M), ;;;;1,000;116,20;;;;
Б_MINIMI MT_Pois_211 String Lilla 48 (L), ;;;;1,000;116,20;;;;
Б_MINIMI MT_Pois_211 String Lilla 50 (XL), ;;;;1,000;116,20;;;;
Б_MINIMI MT_Pois_211 String Nero 46 (M), ;;;;1,000;116,20;;;;
Б_MINIMI MT_Pois_211 String Nero 48 (L), ;;;;1,000;116,20;;;;
Б_MINIMI MT_Pois_221 Slip Celeste 42 (XS), ;;;;1,000;181,74;;;;
Б_MINIMI MT_Pois_221 Slip Celeste 44 (S), ;;;;1,000;153,78;;;;
Б_MINIMI MT_Pois_221 Slip Celeste 50 (XL), ;;;;1,000;130,20;;;;
Б_MINIMI MT_Pois_221 Slip Jeans 42 (XS), ;;;;1,000;181,74;;;;
Б_MINIMI MT_Pois_221 Slip Jeans 44 (S), ;;;;1,000;152,00;;;;
Б_MINIMI MT_Pois_221 Slip Lilla 44 (S), ;;;;1,000;152,00;;;;
Б_MINIMI MT_Pois_221 Slip Nero 44 (S), ;;;;1,000;177,08;;;;
Б_MINIMI MT_Pois_221 Slip Nero 50 (XL), ;;;;1,000;181,74;;;;
Б_MINIMI MT_Pois_231 Panty Menta 42 (XS), ;;;;1,000;140,00;;;;
